technology_4,timestep_2,parameter_1,value_1,parameter_2,value_2,comment
chpBiomassCcs,2015,costExpConv,1690.04,costOprConv,38.87,
chpBiomassCcs,2020,costExpConv,1519.65,costOprConv,34.95,
chpBiomassCcs,2025,costExpConv,1448.27,costOprConv,33.31,
chpBiomassCcs,2030,costExpConv,1376.9,costOprConv,31.67,
chpBiomassCcs,2035,costExpConv,1321.64,costOprConv,30.4,
chpBiomassCcs,2040,costExpConv,1266.38,costOprConv,29.13,
chpBiomassCcs,2045,costExpConv,1218.02,costOprConv,28.01,
chpBiomassCcs,2050,costExpConv,1169.67,costOprConv,26.9,
pBiomassCcs,2015,costExpConv,1588.24,costOprConv,34.94,
pBiomassCcs,2020,costExpConv,1439.85,costOprConv,31.68,
pBiomassCcs,2025,costExpConv,1371.16,costOprConv,30.17,
pBiomassCcs,2030,costExpConv,1302.46,costOprConv,28.65,
pBiomassCcs,2035,costExpConv,1242.01,costOprConv,27.32,
pBiomassCcs,2040,costExpConv,1181.56,costOprConv,25.99,
pBiomassCcs,2045,costExpConv,1126.6,costOprConv,24.79,
pBiomassCcs,2050,costExpConv,1071.65,costOprConv,23.58,
xElectrolysis,2015,costExpConv,0,costOprConv,21.6,
xElectrolysis,2020,costExpConv,462.29,costOprConv,18.22,
xElectrolysis,2025,costExpConv,337.44,costOprConv,13.5,
xElectrolysis,2030,costExpConv,256.45,costOprConv,10.12,
xElectrolysis,2035,costExpConv,229.46,costOprConv,9.45,
xElectrolysis,2040,costExpConv,209.21,costOprConv,8.1,
xElectrolysis,2045,costExpConv,188.97,costOprConv,7.42,
xElectrolysis,2050,costExpConv,175.47,costOprConv,6.75,
xFuelCell,2015,costExpConv,1583.07,costOprConv,0,
xFuelCell,2020,costExpConv,1188.41,costOprConv,0,
xFuelCell,2025,costExpConv,1055.38,costOprConv,0,
xFuelCell,2030,costExpConv,922.35,costOprConv,0,
xFuelCell,2035,costExpConv,875.79,costOprConv,0,
xFuelCell,2040,costExpConv,829.23,costOprConv,0,
xFuelCell,2045,costExpConv,800.4,costOprConv,0,
xFuelCell,2050,costExpConv,771.58,costOprConv,0,
pHydrogen,2015,costExpConv,383.26,costOprConv,9.58,
pHydrogen,2020,costExpConv,374.83,costOprConv,9.37,
pHydrogen,2025,costExpConv,366.41,costOprConv,9.16,
pHydrogen,2030,costExpConv,357.99,costOprConv,8.95,
pHydrogen,2035,costExpConv,349.56,costOprConv,8.74,
pHydrogen,2040,costExpConv,341.14,costOprConv,8.53,
pHydrogen,2045,costExpConv,332.72,costOprConv,8.32,
pHydrogen,2050,costExpConv,324.29,costOprConv,8.11,
xDac,2015,costExpConv,20000,costOprConv,990,
xDac,2020,costExpConv,20000,costOprConv,990,
xDac,2025,costExpConv,20000,costOprConv,990,
xDac,2030,costExpConv,17142.85714,costOprConv,848.5714286,
xDac,2035,costExpConv,15714.28571,costOprConv,777.8571429,
xDac,2040,costExpConv,14285.71429,costOprConv,707.1428571,
xDac,2045,costExpConv,12857.14286,costOprConv,636.4285714,
xDac,2050,costExpConv,11428.57143,costOprConv,565.7142857,
