region_1,region_2,carrier_1,timestep_2,parameter,value
mexico,bajaCalifornia,mobilityFreight,2015,dem,0.29
mexico,bajaCalifornia,mobilityFreight,2020,dem,0.326
mexico,bajaCalifornia,mobilityFreight,2025,dem,0.367
mexico,bajaCalifornia,mobilityFreight,2030,dem,0.413
mexico,bajaCalifornia,mobilityFreight,2035,dem,0.465
mexico,bajaCalifornia,mobilityFreight,2040,dem,0.524
mexico,bajaCalifornia,mobilityFreight,2045,dem,0.591
mexico,bajaCalifornia,mobilityFreight,2050,dem,0.666
mexico,bajaCaliforniaSur,mobilityFreight,2015,dem,0.027
mexico,bajaCaliforniaSur,mobilityFreight,2020,dem,0.03
mexico,bajaCaliforniaSur,mobilityFreight,2025,dem,0.032
mexico,bajaCaliforniaSur,mobilityFreight,2030,dem,0.035
mexico,bajaCaliforniaSur,mobilityFreight,2035,dem,0.038
mexico,bajaCaliforniaSur,mobilityFreight,2040,dem,0.042
mexico,bajaCaliforniaSur,mobilityFreight,2045,dem,0.046
mexico,bajaCaliforniaSur,mobilityFreight,2050,dem,0.051
mexico,central,mobilityFreight,2015,dem,3.083
mexico,central,mobilityFreight,2020,dem,3.481
mexico,central,mobilityFreight,2025,dem,3.949
mexico,central,mobilityFreight,2030,dem,4.465
mexico,central,mobilityFreight,2035,dem,5.027
mexico,central,mobilityFreight,2040,dem,5.683
mexico,central,mobilityFreight,2045,dem,6.422
mexico,central,mobilityFreight,2050,dem,7.265
mexico,noreste,mobilityFreight,2015,dem,1.135
mexico,noreste,mobilityFreight,2020,dem,1.28
mexico,noreste,mobilityFreight,2025,dem,1.444
mexico,noreste,mobilityFreight,2030,dem,1.63
mexico,noreste,mobilityFreight,2035,dem,1.849
mexico,noreste,mobilityFreight,2040,dem,2.085
mexico,noreste,mobilityFreight,2045,dem,2.342
mexico,noreste,mobilityFreight,2050,dem,2.643
mexico,noroeste,mobilityFreight,2015,dem,0.572
mexico,noroeste,mobilityFreight,2020,dem,0.646
mexico,noroeste,mobilityFreight,2025,dem,0.729
mexico,noroeste,mobilityFreight,2030,dem,0.823
mexico,noroeste,mobilityFreight,2035,dem,0.93
mexico,noroeste,mobilityFreight,2040,dem,1.05
mexico,noroeste,mobilityFreight,2045,dem,1.185
mexico,noroeste,mobilityFreight,2050,dem,1.339
mexico,norte,mobilityFreight,2015,dem,0.713
mexico,norte,mobilityFreight,2020,dem,0.804
mexico,norte,mobilityFreight,2025,dem,0.906
mexico,norte,mobilityFreight,2030,dem,1.022
mexico,norte,mobilityFreight,2035,dem,1.153
mexico,norte,mobilityFreight,2040,dem,1.301
mexico,norte,mobilityFreight,2045,dem,1.467
mexico,norte,mobilityFreight,2050,dem,1.656
mexico,occidental,mobilityFreight,2015,dem,2.283
mexico,occidental,mobilityFreight,2020,dem,2.577
mexico,occidental,mobilityFreight,2025,dem,2.909
mexico,occidental,mobilityFreight,2030,dem,3.283
mexico,occidental,mobilityFreight,2035,dem,3.726
mexico,occidental,mobilityFreight,2040,dem,4.203
mexico,occidental,mobilityFreight,2045,dem,4.763
mexico,occidental,mobilityFreight,2050,dem,5.342
mexico,oriental,mobilityFreight,2015,dem,1.317
mexico,oriental,mobilityFreight,2020,dem,1.486
mexico,oriental,mobilityFreight,2025,dem,1.677
mexico,oriental,mobilityFreight,2030,dem,1.892
mexico,oriental,mobilityFreight,2035,dem,2.135
mexico,oriental,mobilityFreight,2040,dem,2.41
mexico,oriental,mobilityFreight,2045,dem,2.72
mexico,oriental,mobilityFreight,2050,dem,3.09
mexico,peninsular,mobilityFreight,2015,dem,0.137
mexico,peninsular,mobilityFreight,2020,dem,0.154
mexico,peninsular,mobilityFreight,2025,dem,0.172
mexico,peninsular,mobilityFreight,2030,dem,0.193
mexico,peninsular,mobilityFreight,2035,dem,0.217
mexico,peninsular,mobilityFreight,2040,dem,0.244
mexico,peninsular,mobilityFreight,2045,dem,0.274
mexico,peninsular,mobilityFreight,2050,dem,0.308
usa,alabama,mobilityFreight,all,dem,4.763
usa,alaska,mobilityFreight,all,dem,0.32
usa,arizona,mobilityFreight,all,dem,3.905
usa,arkansas,mobilityFreight,all,dem,3.803
usa,california,mobilityFreight,all,dem,23.949
usa,colorado,mobilityFreight,all,dem,3.701
usa,connecticut,mobilityFreight,all,dem,0.802
usa,delaware,mobilityFreight,all,dem,0.509
usa,florida,mobilityFreight,all,dem,7.143
usa,georgia,mobilityFreight,all,dem,7.586
usa,idaho,mobilityFreight,all,dem,2.408
usa,illinois,mobilityFreight,all,dem,17.822
usa,indiana,mobilityFreight,all,dem,17.31
usa,iowa,mobilityFreight,all,dem,8.388
usa,kansas,mobilityFreight,all,dem,5.488
usa,kentucky,mobilityFreight,all,dem,4.528
usa,louisiana,mobilityFreight,all,dem,7.724
usa,maine,mobilityFreight,all,dem,0.599
usa,maryland,mobilityFreight,all,dem,1.659
usa,massachusetts,mobilityFreight,all,dem,1.241
usa,michigan,mobilityFreight,all,dem,8.763
usa,minnesota,mobilityFreight,all,dem,10.044
usa,mississippi,mobilityFreight,all,dem,2.57
usa,missouri,mobilityFreight,all,dem,7.504
usa,montana,mobilityFreight,all,dem,4.741
usa,nebraska,mobilityFreight,all,dem,7.226
usa,nevada,mobilityFreight,all,dem,0.831
usa,newHampshire,mobilityFreight,all,dem,0.327
usa,newJersey,mobilityFreight,all,dem,4.085
usa,newMexico,mobilityFreight,all,dem,1.199
usa,newYork,mobilityFreight,all,dem,3.904
usa,northCarolina,mobilityFreight,all,dem,6.384
usa,northDakota,mobilityFreight,all,dem,7.13
usa,ohio,mobilityFreight,all,dem,9.066
usa,oklahoma,mobilityFreight,all,dem,6.87
usa,oregon,mobilityFreight,all,dem,3.069
usa,pennsylvania,mobilityFreight,all,dem,7.868
usa,rhodeIsland,mobilityFreight,all,dem,0.193
usa,southCarolina,mobilityFreight,all,dem,2.766
usa,southDakota,mobilityFreight,all,dem,2.433
usa,tennessee,mobilityFreight,all,dem,3.989
usa,texas,mobilityFreight,all,dem,33.042
usa,utah,mobilityFreight,all,dem,2.209
usa,vermont,mobilityFreight,all,dem,0.289
usa,virginia,mobilityFreight,all,dem,4.028
usa,washington,mobilityFreight,all,dem,5.903
usa,westVirginia,mobilityFreight,all,dem,3.823
usa,wisconsin,mobilityFreight,all,dem,6.73
usa,wyoming,mobilityFreight,all,dem,24.565
canada,canada_,mobilityFreight,2015,dem,23.989
canada,canada_,mobilityFreight,2020,dem,26.346
canada,canada_,mobilityFreight,2025,dem,28.943
canada,canada_,mobilityFreight,2030,dem,31.803
canada,canada_,mobilityFreight,2035,dem,34.962
canada,canada_,mobilityFreight,2040,dem,38.407
canada,canada_,mobilityFreight,2045,dem,42.188
canada,canada_,mobilityFreight,2050,dem,46.367
