technology_4,timestep_2,parameter_1,value_1,parameter_2,value_2,comment
chpBiomassCcs,2020,costExpConv,1519.65,costOprConv,34.95,
chpBiomassCcs,2025,costExpConv,1448.27,costOprConv,33.31,
chpBiomassCcs,2030,costExpConv,1376.9,costOprConv,31.67,
chpBiomassCcs,2035,costExpConv,1321.64,costOprConv,30.4,
chpBiomassCcs,2040,costExpConv,1266.38,costOprConv,29.13,
chpBiomassCcs,2045,costExpConv,1218.02,costOprConv,28.01,
chpBiomassCcs,2050,costExpConv,1169.67,costOprConv,26.9,
pBiomassCcs,2020,costExpConv,1439.85,costOprConv,31.68,
pBiomassCcs,2025,costExpConv,1371.16,costOprConv,30.17,
pBiomassCcs,2030,costExpConv,1302.46,costOprConv,28.65,
pBiomassCcs,2035,costExpConv,1242.01,costOprConv,27.32,
pBiomassCcs,2040,costExpConv,1181.56,costOprConv,25.99,
pBiomassCcs,2045,costExpConv,1126.6,costOprConv,24.79,
pBiomassCcs,2050,costExpConv,1071.65,costOprConv,23.58,
xElectrolysis,2020,costExpConv,231.145,costOprConv,9.11,
xElectrolysis,2025,costExpConv,168.72,costOprConv,6.75,
xElectrolysis,2030,costExpConv,128.225,costOprConv,5.06,
xElectrolysis,2035,costExpConv,114.73,costOprConv,4.725,
xElectrolysis,2040,costExpConv,104.605,costOprConv,4.05,
xElectrolysis,2045,costExpConv,94.485,costOprConv,3.71,
xElectrolysis,2050,costExpConv,87.735,costOprConv,3.375,
xFuelCell,2020,costExpConv,594.205,costOprConv,0,
xFuelCell,2025,costExpConv,527.69,costOprConv,0,
xFuelCell,2030,costExpConv,461.175,costOprConv,0,
xFuelCell,2035,costExpConv,437.895,costOprConv,0,
xFuelCell,2040,costExpConv,414.615,costOprConv,0,
xFuelCell,2045,costExpConv,400.2,costOprConv,0,
xFuelCell,2050,costExpConv,385.79,costOprConv,0,
pHydrogen,2020,costExpConv,187.415,costOprConv,4.685,
pHydrogen,2025,costExpConv,183.205,costOprConv,4.58,
pHydrogen,2030,costExpConv,178.995,costOprConv,4.475,
pHydrogen,2035,costExpConv,174.78,costOprConv,4.37,
pHydrogen,2040,costExpConv,170.57,costOprConv,4.265,
pHydrogen,2045,costExpConv,166.36,costOprConv,4.16,
pHydrogen,2050,costExpConv,162.145,costOprConv,4.055,
xDac,2020,costExpConv,20000,costOprConv,990,
xDac,2025,costExpConv,20000,costOprConv,990,
xDac,2030,costExpConv,17142.85714,costOprConv,848.5714286,
xDac,2035,costExpConv,15714.28571,costOprConv,777.8571429,
xDac,2040,costExpConv,14285.71429,costOprConv,707.1428571,
xDac,2045,costExpConv,12857.14286,costOprConv,636.4285714,
xDac,2050,costExpConv,11428.57143,costOprConv,565.7142857,
